OTUID,Phylum,INDO12S1A,INDO12S1B,INDO12S1C,INDO12S2A,INDO12S2B,INDO12S2C,INDO13S1A,INDO13S1B,INDO13S1C
CE01100M1_0_ID101653,Chordata,3.69E-05,0.010126398,0.001687637,0.032594197,8.00E-05,0.000330429,0.000663427,0.000152427,1.55E-05
CE01100M1_0_ID10645,Arthropoda,0.001450566,0.002976061,0.004038426,0.005573268,0.012955654,0.005083632,0.003816604,0,8.70E-06
ART01B500M6_0_ID320428,Arthropoda,0.0041596,0.003519031,0.000205284,0.004115319,0.012992366,0.002782207,6.22E-05,0,0.0079325
ART01A100M5_0_ID100185,Unidentified,0.008169342,0.004111182,0.003703513,0.001905052,0.00399551,0.001618652,0.003695305,0.001218156,0.003983466
ART01B100M7_0_ID100154,Unidentified,0.035202888,0.000114307,0.001908251,4.57E-06,1.02E-05,0.001366889,0,0.00288072,0.006367614
BAO01B100M3_0_ID21407,Arthropoda,0.002405642,0.003176082,0,0.022744455,0.018755392,0.00247383,6.88E-05,1.91E-05,0.000274485
ART01A100M5_0_ID10230,Annelida,0.002078324,0.00204759,0.001256259,0.001160844,0.001340991,0.001837599,0.006784382,0.003148614,0.003455131
ART01A100M5_0_ID100552,Unidentified,0.002207538,0.002186141,0.003195396,0.002064454,0.000693652,0.005230056,0.002502826,0.001184889,0.002511974
BAA01A500M4_0_ID17011,Unidentified,0.002781123,0.006241702,0.007589513,0.000543489,4.11E-05,0.00437461,0.000830551,0.001218806,0.002711501
CE01BSM1_0_ID109589,Rhodophyta,0.002884856,0.001910644,0.001276115,0.000951076,0.005526424,0.005652139,0.000672895,0.000205516,0.000129803
CE01100M1_0_ID101716,Unidentified,0.002260579,2.31E-05,0.009334231,0.000966035,0,0.00894545,7.73E-07,0.00054617,0.00122212
ART01A100M5_0_ID107943,Arthropoda,0.003243972,0.026406977,0.009259659,0.004165466,0.000431125,6.98E-05,1.89E-05,0.00040104,0.001572571
CE01100M1_0_ID10200,Bryozoa,0.00059911,0.011639071,0.010975232,0.008987984,0.005739781,7.87E-05,0,2.44E-05,2.85E-06
BAA01A100M7_0_ID169214,Unidentified,0.005493062,0.004081706,0.000322111,0.003207746,0.001448406,0.003150719,0.002487247,0.000512394,0.00213109
BAA01A500M3_0_ID70810,Unidentified,0,0.015011448,0,0.000645596,0.000917222,0,7.73E-07,0,0
ART01B100M7_0_ID91271,Porifera,1.21E-05,2.74E-05,1.58E-05,0,4.00E-06,0.004851871,0.005413284,0.000299785,2.85E-06
CE01100M1_0_ID95691,Unidentified,0.002643765,0.002363093,0.000850957,0.000391077,2.48E-05,0.001352541,0.000104353,0.008576638,0.006542472
ART01BBSM3_0_ID29323,Arthropoda,0.000610842,0.003714347,0.002877075,0.006647517,0.027661428,0.000622312,4.71E-05,0,0.000343412
BAA01ABSM6_0_ID445926,Arthropoda,7.33E-07,0,1.63E-05,0.000271345,0.000267911,0,0.001452013,0.033116493,1.54E-06
ART02CBSM6_0_ID10204,Mollusca,0,0,0,0,0,0,0,0,0.013024583
BAA01A500M3_0_ID34782,Unidentified,0.00153335,0.002613724,0.000373177,0.002360448,5.20E-05,0.004459326,0.003101283,0.001075574,0.00316378
CE02BSM6_0_ID280312,Unidentified,0.000222578,0.001508653,0.002649687,0.001901852,0.000753869,0.004195496,0.001954402,0.006513992,0.002910348
CE01100M1_0_ID100319,Unidentified,4.10E-06,0.000399181,0.000409431,0.017175779,0.000833332,0.002507761,0.000959203,0.000220397,0.002029723
ART01B500M3_0_ID110915,Unidentified,8.17E-06,0.002155725,0.006454116,0.000714245,0.003414055,0.002391882,0.004231285,9.61E-05,8.57E-06
CE01100M1_0_ID81266,Cnidaria,3.85E-05,0.000180406,2.84E-05,0.008801015,0.002992373,0.008007972,5.60E-05,0.000342925,2.19E-05
ART01A100M5_0_ID101470,Unidentified,0.003373836,0.003329936,0.000335049,0.001631507,0.001294426,0.005547469,0.000449472,0.002305397,0.000672043
ART01A100M5_0_ID102650,Porifera,0.000166015,1.49E-06,0.003948415,0,0,0.000346283,0,3.47E-06,0.011150738
BAA01ABSM6_0_ID104276,Rhodophyta,0.002243158,0.001704067,0.000745465,0.000785567,0.004125645,0.004842088,0.0006123,0.000175965,7.68E-05
ART01B500M4_0_ID5095,Unidentified,0.001474765,0.003055136,0.000687431,0.000487745,0.00205354,0.003185654,0.002638273,0.002632819,0.002684167
ART01B100M7_0_ID15241,Porifera,7.33E-07,0.00015969,0.000427238,0,5.10E-06,0.000118022,5.67E-06,0.009547171,0.008970375
ART01A100M5_0_ID24349,Arthropoda,0.001636631,0.005369542,0.002511058,0.00624259,0.001165272,0.004315223,0.001211378,0.000633229,0.00010081
BAA01A500M6_0_ID276012,Cnidaria,0.000104121,0.008976125,1.18E-05,0,4.00E-06,0.007401425,1.83E-05,0.001335775,3.59E-05
CE02BSM4_0_ID136993,Annelida,5.87E-06,0,0,0,1.41E-05,0,0.020470107,0.000237035,0
ART01A100M5_0_ID118753,Echinodermata,0,0.000172264,2.11E-05,2.37E-05,2.04E-05,0,0,0.029142228,0
ART01A100M5_0_ID134548,Unidentified,0.000277758,3.81E-05,0.001190409,0,0.000109045,0.008876831,0.000640062,1.38E-05,4.55E-05
ART01A100M5_0_ID107110,Cnidaria,1.37E-05,0.000164341,7.10E-06,0.007011402,0.00236871,0.007358,8.55E-05,0.000198986,5.94E-06
ART01A500M5_0_ID146746,Porifera,0.000479646,2.97E-05,0.000355012,0.00083669,7.34E-05,0.001336611,0.012540305,0.010848343,0.001816999
BAO01B100M3_0_ID53944,Unidentified,0.001188852,0.000367405,0.005458346,0.000749426,0.000861799,0.003103831,0.000154065,0.011494019,0.000246821
ART02B500M5_0_ID119292,Annelida,7.54E-06,0.000302438,0.000869176,0,3.43E-05,7.07E-06,0.005985339,8.80E-06,4.37E-05
CE01100M3_0_ID106380,Arthropoda,0.000139722,0.002287007,0.00117978,0,0,0.011304132,4.30E-05,3.47E-06,0.000117021
CE01100M1_0_ID103990,Unidentified,0.002991366,0.002953866,0.001165146,0.001250782,0.001184332,0.00125277,0.001998835,0.000976442,0.005596064
CE01100M1_0_ID10207,Unidentified,0.000555358,0.000230284,0.000114321,0,1.01E-05,0,7.45E-05,1.38E-05,0.009910137
BAA01A500M4_0_ID43430,Cnidaria,0.002765027,0.007643275,0.007714843,0.000138629,9.13E-05,0.004140276,0.000236258,1.38E-05,5.74E-05
BAA01A500M6_0_ID259169,Unidentified,0.014854021,0.000175863,4.32E-05,7.56E-06,0.001927402,0.000110045,0.003466793,0.00061003,0.001029098
CE02500M1_0_ID110732,Annelida,0.000326367,0.001276122,0.000733811,0,8.79E-05,0.001206327,0.004964748,1.38E-05,0.002522559
CE01100M1_0_ID11941,Unidentified,0,0,0,2.57E-05,0,0,7.73E-07,0.024554829,0.000209232
ART01A100M5_0_ID19203,Porifera,0.005116584,2.62E-05,0.000110904,0.000241257,0.00025924,0.000916911,9.04E-05,0.000644076,0.000112981
ART01B500M3_0_ID10372,Unidentified,0,0,0,4.57E-06,1.20E-05,1.18E-06,0.005530743,0,0
BAO01B100M6_0_ID175838,Bryozoa,0.001886978,0.001242926,0.000903969,0.000707856,0.001099078,0.0022289,0.003080115,0.000840926,0.000874408
ART01A500M5_0_ID22596,Annelida,3.00E-05,0.000114339,0.000765236,2.46E-05,0.00035923,0.000611875,0.004322791,0.003002611,5.71E-06
CE01100M1_0_ID4656,Unidentified,0.003443757,0.002734564,0.000141414,0.001639781,0.001152323,0.000694995,0.003216454,0.001257763,0.000552264
ART01B100M7_0_ID143919,Rhodophyta,0.001356334,0.002465042,0.001338152,0.000618509,0.000919215,0.001378572,0.002401489,0.00033365,0.000215541
ART01A100M5_0_ID10743,Porifera,7.14E-05,0.00070515,0.000800607,0.000268994,0.000113091,0.0002806,0.002180493,0.009154626,0.003266269
BAO01BBSM6_0_ID313077,Ochrophyta,0.000948122,4.30E-06,5.54E-05,0.002166654,0.014945998,0.002423374,7.73E-07,2.67E-05,1.47E-05
