OTUID,Phylum,INDO18S12S1A,INDO18S12S1B,INDO18S12S1C,INDO18S12S2A,INDO18S12S2B,INDO18S12S2C,INDO18S13S1A,INDO18S13S1B,INDO18S13S1C
OTU_117060,Chordata,1.28E-05,2.00E-06,0,2.11E-06,3.03E-06,0,2.38E-05,1.39E-05,5.07E-06
OTU_1174601,Nematoda,1.44E-06,2.63E-06,2.75E-05,1.47E-05,0,1.05E-06,3.97E-06,5.43E-06,0
OTU_117865,Arthropoda,7.20E-06,1.15E-05,0,2.65E-06,1.16E-05,5.20E-06,5.47E-06,1.45E-05,0
OTU_118095,Miozoa,0,0,0,6.84E-06,0,2.10E-06,0,6.98E-05,0
OTU_1183355,Chordata,1.03E-05,0,0,1.71E-05,3.03E-06,0,0,2.99E-05,0
OTU_11841,Miozoa,9.33E-06,0,2.66E-05,1.47E-05,1.14E-06,0,2.74E-06,2.71E-06,0
OTU_119435,Chordata,3.53E-06,0,0,0,1.16E-05,7.33E-06,2.38E-05,6.91E-06,2.04E-06
OTU_121896,Cnidaria,1.43E-05,2.00E-06,0,9.50E-06,0,2.59E-06,0,1.90E-05,0
OTU_122290,Arthropoda,1.29E-05,1.05E-05,3.87E-06,0,1.16E-05,2.59E-06,0,2.71E-06,1.01E-05
OTU_126145,Chordata,3.53E-06,0,0,0,0,4.42E-05,0,0,0
OTU_128937,Ochrophyta,0,8.00E-06,8.87E-06,6.33E-06,1.14E-05,1.05E-06,0,4.20E-06,0
OTU_13270,Annelida,1.44E-06,2.63E-06,0,3.18E-05,1.45E-05,5.20E-06,0,2.71E-06,0
OTU_13328,Arthropoda,2.01E-05,0,7.73E-06,0,0,0,2.74E-06,1.36E-05,0
OTU_13333,Ochrophyta,4.97E-06,0,0,2.65E-06,8.70E-06,1.30E-05,2.66E-05,2.71E-06,0
OTU_1429,Arthropoda,0,5.27E-06,3.87E-06,0,1.45E-05,0,0,1.90E-05,3.54E-05
OTU_14488,Mollusca,0,2.90E-05,0,0,3.19E-05,0,0,0,0
OTU_14864,Nematoda,3.53E-06,1.45E-05,1.18E-05,6.33E-06,4.53E-06,3.15E-06,0,4.20E-06,2.04E-06
OTU_1522484,Cercozoa,0,6.00E-06,0,1.11E-05,0,1.04E-05,1.44E-05,9.37E-06,1.01E-05
OTU_15970,Nematoda,0,4.00E-06,7.73E-06,1.33E-05,2.90E-06,3.15E-06,1.10E-05,1.21E-05,2.04E-06
OTU_1740181,Annelida,4.30E-06,3.60E-06,0,1.42E-05,0,5.77E-06,0,0,2.74E-05
OTU_18404,Nematoda,2.87E-06,0,7.73E-06,0,0,1.82E-05,1.92E-05,5.43E-06,1.01E-05
OTU_1844458,Arthropoda,0,0,0,0,0,0,2.74E-05,5.06E-05,0
OTU_18581,Arthropoda,0,0,0,0,6.67E-05,0,0,0,0
OTU_188703,Arthropoda,7.20E-06,5.27E-06,1.16E-05,5.30E-06,2.90E-06,1.30E-05,0,0,2.02E-05
OTU_18916,Bryozoa,3.54E-05,0,0,0,2.27E-06,0,0,0,0
OTU_1900535,Chlorophyta,1.44E-06,2.63E-06,1.66E-05,6.56E-06,8.70E-06,6.79E-06,2.74E-06,5.43E-06,0
OTU_190717,Arthropoda,2.87E-06,0,1.93E-05,0,0,0,2.18E-05,1.09E-05,2.02E-05
OTU_191557,Annelida,0,0,0,0,0,5.20E-06,5.48E-05,0,0
OTU_1928513,Nematoda,1.77E-06,0,6.82E-06,0,0,1.05E-06,0,4.20E-06,3.78E-05
OTU_194983,Rhodophyta,2.12E-05,3.60E-06,2.95E-06,0,1.14E-06,0,2.38E-05,2.71E-06,0
OTU_195593,Cnidaria,2.87E-06,0,5.75E-05,0,0,2.59E-06,0,5.43E-06,0
OTU_196620,Rhodophyta,0,7.90E-06,0,5.01E-06,1.16E-05,2.59E-06,5.47E-06,2.44E-05,5.07E-06
OTU_198491,Chordata,0,3.20E-05,0,0,0,0,0,2.53E-05,0
OTU_201334,Annelida,7.83E-06,1.87E-05,5.68E-06,1.05E-05,0,0,0,6.65E-06,4.97E-06
OTU_20418,Ciliophora,5.73E-06,3.60E-06,7.73E-06,2.65E-06,2.90E-06,8.82E-06,1.16E-05,2.71E-06,2.02E-05
OTU_206956,Rhodophyta,8.42E-06,0,0,6.33E-06,1.14E-06,1.31E-05,3.97E-06,3.93E-06,2.04E-06
OTU_208244,Nemertea,1.29E-05,0,0,0,2.90E-06,1.93E-05,0,9.37E-06,9.97E-06
OTU_2140,Nemertea,0,0,0,0,6.80E-06,0,0,0,3.98E-05
OTU_21446,Porifera,0,0,0,0,0,0,0,0,4.50E-05
OTU_21524,Arthropoda,0,5.80E-05,0,0,0,0,0,0,0
OTU_21529,Ctenophora,0,7.90E-06,5.68E-06,0,2.90E-06,4.47E-05,0,0,0
OTU_21552,Chordata,0,4.39E-05,0,0,0,0,0,0,0
OTU_2170849,Mollusca,3.16E-05,0,0,0,0,0,0,0,0
OTU_2200564,Annelida,0,0,0,0,3.03E-06,0,1.10E-05,4.61E-05,0
OTU_22232,Miozoa,0,0,0,0,0,8.91E-06,2.74E-05,0,1.98E-05
OTU_22263,Ciliophora,1.44E-06,6.63E-06,1.16E-05,0,0,1.98E-05,2.74E-06,5.43E-06,7.55E-06
OTU_22266,Porifera,0,3.60E-06,0,0,0,2.10E-06,4.74E-05,1.97E-05,0
OTU_22425,Miozoa,8.63E-06,0,3.87E-06,1.33E-05,2.03E-05,7.77E-06,0,0,0
OTU_227839,Annelida,0,0,2.95E-06,0,0,2.20E-05,0,0,0
OTU_229618,Arthropoda,1.01E-05,1.58E-05,1.16E-05,2.65E-06,2.90E-06,2.59E-06,8.23E-06,0,0
OTU_23373,Miozoa,0,2.63E-06,5.89E-05,0,0,0,0,4.20E-06,0
OTU_23532,Chordata,0,0,0,5.25E-05,0,0,0,0,0
OTU_23537,Chordata,0,0,0,5.25E-05,0,0,0,0,0
OTU_23551,Chordata,0,0,0,4.42E-05,0,0,0,0,5.07E-06
OTU_24443,Mollusca,0,5.27E-06,7.73E-06,0,1.74E-05,1.56E-05,0,1.63E-05,0
OTU_24489,Cercozoa,0,3.60E-06,0,5.30E-06,5.80E-06,1.04E-05,1.57E-05,1.39E-05,1.25E-05
OTU_25831,Nematoda,2.87E-06,0,0,0,0,1.04E-05,1.98E-05,1.90E-05,1.01E-05
OTU_25917,Mollusca,0,0,0,0,0,0,0,7.81E-05,0
OTU_26009,Cercozoa,2.44E-05,2.63E-06,0,0,0,1.10E-05,0,0,2.49E-06
OTU_26099,Chordata,1.77E-06,0,0,4.42E-05,0,0,0,0,0
OTU_26196,Miozoa,0,4.00E-06,0,4.41E-05,0,1.05E-06,0,0,0
OTU_27229,Arthropoda,0,0,0,0,0,0,0,2.53E-05,8.09E-05
OTU_2740,Miozoa,5.30E-06,0,2.14E-05,4.20E-06,1.14E-06,0,9.54E-06,9.63E-06,4.10E-06
OTU_27450,Chordata,0,0,0,0,2.38E-05,0,0,4.20E-06,0
OTU_276248,Rhodophyta,0,1.45E-05,1.48E-05,2.11E-06,4.53E-06,6.79E-06,0,8.43E-06,5.07E-06
OTU_27644,Arthropoda,3.16E-05,0,0,0,0,0,0,0,0
OTU_29615,Arthropoda,0,0,0,7.10E-06,5.76E-05,0,0,0,0
OTU_29620,Chordata,0,3.60E-05,0,0,0,0,0,0,8.17E-06
OTU_30823,Annelida,0,0,3.81E-05,0,0,5.77E-06,0,0,0
OTU_319437,Rhodophyta,3.12E-06,0,0,0,0,0,5.76E-05,0,0
OTU_3507,Echinodermata,3.12E-06,2.63E-06,0,0,5.79E-05,0,0,0,0
OTU_37069,Miozoa,0,2.63E-06,3.48E-05,1.86E-05,0,1.30E-05,0,0,0
OTU_3821,Haptophyta,3.21E-06,3.60E-06,4.77E-06,2.11E-06,5.67E-06,2.10E-06,1.58E-05,1.24E-05,4.53E-06
OTU_39898,Arthropoda,0,7.23E-06,5.90E-06,0,0,2.59E-06,2.47E-05,2.77E-05,0
OTU_4044,Miozoa,0,0,0,4.20E-05,0,1.99E-05,0,0,0
OTU_40601,Annelida,5.13E-05,0,0,0,0,2.59E-06,0,8.43E-06,7.55E-06
OTU_40740,Platyhelminthes,0,0,0,5.54E-05,0,0,2.74E-06,0,0
OTU_40834,Cnidaria,0,4.00E-06,5.90E-06,2.11E-06,1.02E-05,8.40E-06,0,0,0
OTU_4093,Arthropoda,0,0,0,0,6.37E-05,0,0,0,0
OTU_4286,Bigyra,5.30E-06,4.63E-06,2.95E-06,2.65E-06,0,5.23E-06,1.74E-05,4.20E-06,1.17E-05
OTU_44087,Chordata,0,0,1.16E-05,0,0,0,2.53E-05,0,5.05E-05
OTU_44122,Rhodophyta,0,6.00E-06,0,0,3.40E-06,4.20E-06,0,5.06E-05,0
OTU_453809,Arthropoda,0,2.63E-06,0,0,0,0,0,3.15E-05,6.57E-05
OTU_46643,Arthropoda,0,0,1.55E-05,2.65E-06,0,1.04E-05,2.47E-05,1.09E-05,0
OTU_48894,Annelida,2.87E-06,0,7.73E-06,2.65E-06,2.90E-06,6.25E-06,2.74E-06,1.21E-05,4.04E-05
OTU_49966,Retaria,1.44E-06,0,0,2.65E-06,0,3.64E-06,3.68E-05,1.63E-05,0
OTU_5080,Platyhelminthes,4.30E-06,2.00E-06,3.87E-06,0,0,9.86E-06,2.59E-05,8.13E-06,0
OTU_525304,Annelida,1.15E-05,0,7.73E-06,0,0,0,0,3.26E-05,0
OTU_52634,Porifera,7.07E-06,0,0,0,4.53E-06,9.43E-06,1.81E-05,0,0
OTU_52865,Arthropoda,8.63E-06,0,3.87E-06,7.97E-06,0,1.30E-05,8.23E-06,2.71E-06,1.52E-05
OTU_57578,Arthropoda,2.87E-06,7.90E-06,0,5.01E-06,1.16E-05,2.59E-06,2.74E-06,2.71E-06,4.04E-05
OTU_577460,Porifera,0,0,6.82E-06,0,0,3.04E-05,0,0,1.75E-05
OTU_582658,Chordata,0,0,2.95E-06,0,0,2.10E-06,0,0,3.88E-05
OTU_58701,Chordata,0,3.20E-05,0,0,0,0,0,0,1.23E-05
OTU_5995,Bryozoa,1.24E-05,2.00E-06,0,2.11E-06,1.14E-06,2.10E-06,3.85E-05,0,0
OTU_60118,Cnidaria,0,2.00E-06,0,0,0,2.20E-05,0,0,0
OTU_61006,Arthropoda,2.87E-06,1.05E-05,1.16E-05,5.30E-06,2.90E-06,1.30E-05,2.74E-06,8.13E-06,5.07E-06
OTU_6132,Ochrophyta,1.18E-05,4.63E-06,1.16E-05,5.30E-06,2.90E-06,0,1.23E-05,7.87E-06,2.49E-06
OTU_6375,Arthropoda,0,0,0,0,2.03E-05,0,0,2.44E-05,3.03E-05
OTU_69824,Arthropoda,8.97E-06,1.32E-05,0,2.65E-06,5.80E-06,1.04E-05,0,0,2.02E-05
OTU_70539,Annelida,3.12E-06,5.27E-06,1.81E-06,5.01E-06,2.09E-05,3.08E-05,6.80E-06,0,0
OTU_70883,Cnidaria,4.55E-06,3.60E-06,0,0,3.48E-05,5.20E-06,0,1.57E-05,2.49E-06
OTU_71718,Annelida,1.44E-06,0,0,3.18E-05,2.03E-05,2.59E-06,0,0,5.07E-06
OTU_71724,Cnidaria,0,1.41E-05,0,3.95E-05,0,0,0,0,2.49E-06
OTU_736139,Annelida,1.44E-06,2.63E-06,3.87E-06,0,9.10E-06,1.15E-05,4.77E-05,0,0
OTU_737881,Mollusca,0,2.63E-06,0,0,0,0,7.13E-05,4.20E-06,4.10E-06
OTU_753645,Arthropoda,1.29E-05,7.90E-06,0,7.97E-06,2.90E-06,7.77E-06,2.74E-06,5.43E-06,0
OTU_7596,Miozoa,1.22E-05,0,3.87E-06,7.66E-06,0,1.25E-05,0,3.93E-06,0
OTU_762340,Arthropoda,4.30E-06,2.63E-06,1.16E-05,2.65E-06,0,5.20E-06,1.10E-05,6.91E-06,2.52E-05
OTU_768863,Rhodophyta,0,0,0,2.11E-06,0,0,0,7.48E-05,4.10E-06
OTU_7689,Arthropoda,0,0,0,0,0,0,0,5.97E-05,0
OTU_773878,Chordata,0,4.19E-05,0,0,0,0,0,4.20E-06,0
OTU_779167,Chordata,0,1.00E-05,0,0,0,0,0,5.48E-05,8.17E-06
OTU_7797,Ciliophora,4.30E-06,0,3.63E-06,6.56E-06,6.94E-06,6.82E-06,2.32E-05,4.20E-06,0
OTU_806150,Chordata,0,0,0,0,0,0,0,0,4.50E-05
OTU_806471,Chordata,0,8.00E-06,0,0,0,0,0,1.69E-05,2.86E-05
OTU_8066,Miozoa,0,2.00E-06,5.48E-05,0,1.14E-06,2.10E-06,3.40E-06,0,0
OTU_809186,Arthropoda,1.44E-06,0,0,7.97E-06,2.90E-06,0,3.84E-05,8.13E-06,0
OTU_81182,Porifera,2.01E-05,2.63E-06,0,2.11E-06,2.90E-06,4.69E-06,1.58E-05,3.93E-06,2.04E-06
OTU_829404,Rhodophyta,0,0,0,0,4.53E-06,5.23E-06,3.40E-06,4.89E-05,0
OTU_834044,Echinodermata,0,2.63E-06,0,0,3.53E-05,1.05E-06,2.18E-05,3.93E-06,0
OTU_8380,Ciliophora,7.42E-06,1.35E-05,0,2.36E-06,0,3.45E-05,0,1.60E-05,4.97E-06
OTU_83804,Porifera,0,8.00E-06,0,0,2.03E-05,1.61E-05,3.40E-06,2.71E-06,2.49E-06
OTU_8524,Annelida,0,3.89E-05,0,0,0,1.14E-05,0,2.71E-06,2.04E-06
OTU_858563,Miozoa,7.50E-06,9.60E-06,3.63E-06,1.11E-05,3.40E-06,2.10E-06,3.97E-06,0,0
OTU_866417,Chordata,5.04E-05,0,0,0,0,0,0,0,0
OTU_868817,Chordata,4.59E-05,0,1.81E-06,0,0,0,0,0,0
OTU_87577,Arthropoda,4.30E-06,1.19E-05,0,3.45E-05,0,2.59E-06,0,0,2.04E-06
OTU_88181,Porifera,4.97E-06,5.60E-06,1.25E-05,7.41E-06,7.06E-06,4.20E-06,3.40E-06,4.20E-06,0
OTU_882480,Chordata,4.67E-05,0,0,0,0,0,0,0,0
OTU_888612,Cnidaria,2.76E-05,0,3.87E-06,0,0,0,0,1.18E-05,0
OTU_888837,Annelida,1.01E-05,5.27E-06,0,2.65E-06,0,1.82E-05,2.74E-06,8.13E-06,2.49E-06
OTU_889086,Mollusca,6.54E-05,0,0,0,0,5.77E-06,0,0,0
OTU_897546,Bryozoa,3.01E-05,0,0,1.05E-05,0,0,0,0,0
OTU_912792,Annelida,0,2.11E-05,3.87E-06,0,8.96E-06,0,5.47E-06,9.37E-06,1.24E-05
OTU_924416,Annelida,1.44E-06,5.23E-05,1.81E-06,5.01E-06,0,2.59E-06,0,0,7.55E-06
OTU_927262,Chordata,3.53E-06,4.34E-05,0,0,1.14E-06,1.05E-06,1.01E-05,0,7.47E-06
OTU_934414,Echinodermata,1.49E-05,2.00E-06,0,2.65E-05,0,0,0,1.18E-05,0
OTU_9372,Platyhelminthes,2.87E-06,2.63E-06,4.25E-05,6.33E-06,0,6.25E-06,2.74E-06,2.71E-06,0
OTU_9482,Nematoda,0,1.58E-05,0,0,3.78E-05,0,0,0,4.97E-06
OTU_963142,Chordata,1.77E-06,0,0,3.64E-05,0,1.05E-06,3.97E-06,8.43E-06,0
OTU_966703,Annelida,2.87E-06,0,0,1.86E-05,2.03E-05,0,0,0,2.01E-05
OTU_979153,Arthropoda,1.58E-05,0,1.16E-05,5.30E-06,1.45E-05,2.59E-06,0,0,0
OTU_992010,Annelida,0,0,0,0,6.67E-05,0,0,0,0
OTU_995856,Chordata,0,4.19E-05,0,0,0,0,0,0,2.04E-06
OTU_996048,Chordata,0,1.80E-05,0,0,0,0,0,0,2.66E-05
OTU_996261,Chordata,0,4.39E-05,0,0,0,0,0,0,0
OTU_1003329,Miozoa,1.44E-06,5.27E-06,3.87E-06,1.82E-05,0,3.64E-06,0,2.71E-06,1.27E-05
OTU_10313,Ochrophyta,5.30E-06,6.00E-06,0,6.33E-06,3.03E-06,6.30E-06,1.02E-05,4.20E-06,2.04E-06
OTU_1034900,Chordata,0,0,2.95E-06,6.33E-06,1.14E-06,1.68E-05,0,0,0
OTU_1036388,Porifera,0,0,0,0,0,9.43E-06,3.97E-06,1.69E-05,1.74E-05
OTU_1042849,Chordata,0,0,5.90E-06,2.11E-06,4.53E-06,1.47E-05,0,0,0
OTU_1043149,Chordata,0,3.60E-06,3.87E-06,0,0,1.15E-05,0,2.71E-06,1.43E-05
OTU_1046166,Cnidaria,9.33E-06,0,3.52E-05,0,0,2.59E-06,0,3.93E-06,0
OTU_10576,Miozoa,1.02E-05,4.63E-06,6.82E-06,4.76E-06,0,0,1.10E-05,0,1.83E-05
OTU_1064793,Chordata,0,0,4.73E-05,2.11E-06,0,4.20E-06,0,0,0
OTU_1065002,Chordata,0,0,6.20E-05,0,0,0,0,0,0
OTU_10704,Choanozoa,8.63E-06,1.51E-05,3.87E-06,6.33E-06,5.80E-06,6.82E-06,6.14E-06,0,0
OTU_1091,Ochrophyta,0,0,1.55E-05,0,2.90E-06,2.25E-05,5.47E-06,0,3.01E-05
OTU_115896,Chordata,0,1.00E-05,2.95E-06,0,2.90E-06,4.20E-06,1.23E-05,0,1.41E-05
OTU_116689,Annelida,1.46E-05,2.99E-05,0,0,0,0,3.97E-06,0,0
OTU_11875,Nematoda,0,1.20E-05,0,0,7.93E-06,8.40E-06,0,0,0
OTU_120833,Rhodophyta,0,5.27E-06,7.73E-06,1.24E-05,0,2.59E-06,3.40E-06,5.43E-06,4.04E-05
OTU_1234,Arthropoda,1.58E-05,0,0,0,0,2.59E-06,0,0,4.55E-05
OTU_126492,Miozoa,6.41E-06,9.87E-06,1.55E-05,5.30E-06,5.80E-06,6.79E-06,0,3.93E-06,0
OTU_13041,Ciliophora,4.97E-06,1.13E-05,0,1.05E-05,6.30E-06,3.15E-06,2.74E-06,0,0
OTU_13110,Arthropoda,7.20E-06,0,0,3.71E-05,2.90E-06,0,0,0,5.07E-06
OTU_1316574,Arthropoda,1.29E-05,0,0,0,2.03E-05,7.77E-06,0,4.20E-06,5.07E-06
OTU_13890,Ciliophora,1.44E-06,0,3.87E-06,2.65E-06,0,0,2.47E-05,2.71E-06,3.74E-05
OTU_15119,Arthropoda,5.73E-06,0,0,0,0,2.59E-06,0,0,5.01E-05
OTU_15146,Cercozoa,7.20E-06,7.90E-06,3.87E-06,0,0,0,8.87E-06,3.93E-06,4.04E-05
OTU_1561296,Chlorophyta,1.35E-05,4.00E-06,6.82E-06,0,4.53E-06,3.15E-06,0,0,4.10E-06
OTU_15894,Ochrophyta,4.64E-06,3.60E-06,0,6.84E-06,4.03E-06,5.20E-06,7.93E-06,0,2.12E-05
OTU_15917,Miozoa,1.77E-06,0,1.86E-05,1.85E-05,2.90E-06,6.25E-06,2.74E-06,2.71E-06,0
OTU_161103,Annelida,5.54E-05,0,0,0,0,0,0,0,0
OTU_162479,Arthropoda,3.02E-05,0,0,0,0,0,0,0,0
OTU_1664083,Rhodophyta,3.53E-06,4.00E-06,1.18E-05,0,0,4.20E-06,6.71E-06,4.20E-06,1.23E-05
OTU_168249,Annelida,1.56E-05,9.87E-06,0,7.10E-06,0,6.82E-06,2.38E-05,4.20E-06,0
OTU_173725,Chordata,2.87E-06,0,0,4.20E-06,1.46E-05,0,3.40E-06,4.07E-05,0
OTU_17816,Annelida,0,2.63E-06,0,7.97E-06,2.08E-05,1.30E-05,1.23E-05,0,5.07E-06
OTU_17833,Annelida,4.30E-06,5.27E-06,3.87E-06,0,2.03E-05,0,2.19E-05,0,0
OTU_18399,Ochrophyta,4.64E-06,3.60E-06,0,2.11E-06,6.94E-06,8.82E-06,2.05E-05,4.20E-06,2.04E-06
OTU_1861681,Chordata,0,2.63E-06,0,4.65E-05,0,0,0,0,0
OTU_187426,Platyhelminthes,8.63E-06,2.63E-06,0,0,0,0,0,2.98E-05,1.52E-05
OTU_192188,Chordata,0,0,0,2.11E-06,0,0,4.91E-05,0,2.53E-05
OTU_194252,Rhodophyta,1.44E-06,2.00E-06,0,2.36E-06,1.14E-06,4.20E-06,3.34E-05,1.26E-05,0
OTU_194856,Chordata,1.77E-06,2.20E-05,0,0,2.27E-06,6.30E-06,3.97E-06,0,0
OTU_19499,Miozoa,3.12E-06,5.27E-06,5.90E-06,2.65E-06,2.90E-06,1.56E-05,2.18E-05,0,5.07E-06
OTU_195669,Arthropoda,0,2.63E-06,0,1.33E-05,0,1.04E-05,8.23E-06,2.17E-05,0
OTU_196834,Entoprocta,0,0,3.87E-06,0,0,0,0,2.98E-05,3.52E-05
OTU_19720,Ciliophora,2.87E-06,0,0,7.97E-06,8.70E-06,2.85E-05,2.74E-06,0,5.07E-06
OTU_1993457,Annelida,6.23E-06,0,0,0,5.50E-05,0,0,0,0
OTU_199346,Ochrophyta,0,3.60E-06,3.87E-06,2.11E-06,0,9.86E-06,9.43E-06,2.71E-06,2.92E-05
OTU_201496,Chordata,0,3.99E-05,0,0,0,0,0,0,2.04E-06
OTU_20494,Retaria,4.30E-06,0,0,2.86E-05,2.90E-06,1.04E-05,6.14E-06,0,0
OTU_205142,Annelida,3.12E-06,0,3.63E-06,2.36E-06,5.80E-06,4.58E-05,0,0,2.49E-06
OTU_20631,Arthropoda,1.32E-05,7.90E-06,0,1.06E-05,0,1.30E-05,0,0,5.07E-06
OTU_208109,Annelida,2.87E-06,7.90E-06,0,1.30E-05,5.80E-06,5.20E-06,1.23E-05,5.43E-06,5.07E-06
OTU_208232,Arthropoda,1.29E-05,1.32E-05,7.73E-06,0,0,7.77E-06,0,5.43E-06,0
OTU_208376,Mollusca,4.30E-06,3.39E-05,0,0,0,2.59E-06,1.37E-05,0,0
OTU_209435,Miozoa,1.61E-05,4.63E-06,1.45E-05,4.73E-06,0,1.05E-06,0,0,0
OTU_21416,Arthropoda,0,0,1.16E-05,0,0,0,0,0,8.19E-05
OTU_215935,Arthropoda,0,9.87E-06,0,1.42E-05,1.82E-05,0,0,0,1.49E-05
OTU_216485,Arthropoda,1.44E-06,0,0,2.92E-05,0,1.04E-05,5.47E-06,0,1.52E-05
OTU_2166722,Annelida,0,0,0,0,6.08E-05,0,0,0,0
OTU_21902,Bigyra,2.87E-06,0,4.25E-05,0,0,0,0,2.11E-05,1.21E-05
OTU_22255,Cercozoa,2.87E-06,2.63E-06,5.68E-06,2.65E-06,2.90E-06,1.56E-05,1.37E-05,2.71E-06,1.01E-05
OTU_22308,Nematoda,0,0,0,0,0,0,0,5.82E-05,0
OTU_22333,Ciliophora,1.77E-06,0,0,1.15E-05,2.27E-06,3.15E-06,0,4.18E-05,0
OTU_223827,Cnidaria,2.87E-06,1.40E-05,0,0,0,1.31E-05,0,2.71E-06,0
OTU_224375,Chordata,0,0,0,0,2.38E-05,0,0,0,0
OTU_23334,Miozoa,0,0,1.55E-05,0,0,0,0,5.13E-05,0
OTU_24187,Porifera,0,7.23E-06,0,0,0,0,7.01E-05,4.20E-06,0
OTU_24452,Ochrophyta,0,0,0,0,5.80E-06,1.04E-05,2.74E-06,0,7.08E-05
OTU_24471,Arthropoda,0,0,0,0,0,0,5.76E-05,0,0
OTU_24560,Nemertea,0,0,0,0,1.45E-05,0,0,4.34E-05,0
OTU_25907,Annelida,0,0,0,8.43E-06,7.93E-06,6.30E-06,1.58E-05,0,0
OTU_26155,Annelida,3.72E-05,0,0,0,0,0,0,0,0
OTU_27323,Arthropoda,0,2.63E-06,3.09E-05,0,1.16E-05,7.77E-06,1.10E-05,2.71E-06,0
OTU_27425,Nematoda,1.05E-05,0,9.55E-06,2.65E-06,0,5.20E-06,0,2.89E-05,2.49E-06
OTU_27447,Chordata,5.30E-06,0,0,0,0,0,0,4.63E-05,1.43E-05
OTU_27641,Echinodermata,6.21E-05,0,0,0,0,0,0,0,0
OTU_27647,Annelida,1.32E-05,0,0,1.86E-05,0,1.04E-05,0,5.43E-06,0
OTU_2792,Chlorophyta,4.97E-06,2.63E-06,8.87E-06,8.43E-06,0,2.10E-06,6.14E-06,1.66E-05,2.49E-06
OTU_29158,Annelida,3.12E-06,0,0,0,0,0,6.13E-05,0,4.97E-06
OTU_31298,Porifera,9.11E-06,7.23E-06,1.32E-05,6.33E-06,0,6.82E-06,3.97E-06,9.63E-06,2.04E-06
OTU_31603,Arthropoda,2.87E-06,1.51E-05,3.87E-06,2.65E-06,5.93E-06,7.77E-06,1.34E-05,5.43E-06,5.07E-06
OTU_332118,Bigyra,1.44E-06,0,1.57E-05,9.50E-06,8.07E-06,2.59E-06,5.47E-06,0,1.25E-05
OTU_34008,Arthropoda,0,5.27E-06,3.87E-06,3.31E-05,2.90E-06,1.04E-05,0,0,0
OTU_349317,Nematoda,1.39E-05,0,1.55E-05,0,0,0,1.36E-05,1.09E-05,0
OTU_3548,Ciliophora,1.44E-06,2.00E-06,3.87E-06,1.16E-05,8.20E-06,1.77E-05,0,4.20E-06,0
OTU_36269,Miozoa,0,0,0,2.65E-06,0,0,2.74E-06,5.42E-05,1.02E-05
OTU_36520,Nematoda,0,0,0,1.56E-05,1.14E-06,2.08E-05,0,1.90E-05,0
OTU_367302,Annelida,5.73E-06,1.58E-05,3.87E-06,1.56E-05,5.80E-06,0,2.74E-06,0,5.07E-06
OTU_36763,Platyhelminthes,0,6.00E-06,0,1.27E-05,4.53E-06,8.35E-06,1.07E-05,0,5.07E-06
OTU_392740,Mollusca,1.44E-06,0,3.87E-06,2.12E-05,0,1.82E-05,0,1.09E-05,0
OTU_39986,Annelida,0,0,0,0,0,0,3.40E-06,0,4.98E-05
OTU_435870,Arthropoda,4.30E-06,0,0,5.30E-06,2.90E-06,1.30E-05,2.11E-05,2.71E-06,4.97E-06
OTU_44280,Arthropoda,2.87E-06,5.27E-06,0,1.06E-05,0,2.59E-06,3.27E-05,0,5.07E-06
OTU_4442,Porifera,1.77E-06,7.23E-06,0,0,1.02E-05,0,2.77E-05,8.43E-06,0
OTU_4574,Arthropoda,2.87E-06,0,0,0,0,2.59E-06,0,1.63E-05,6.06E-05
OTU_46999,Cnidaria,3.53E-06,0,0,8.99E-06,2.27E-06,7.33E-06,3.40E-06,1.48E-05,2.49E-06
OTU_4981,Rhodophyta,6.74E-06,0,2.95E-06,8.43E-06,2.27E-06,6.30E-06,6.71E-06,2.71E-06,2.49E-06
OTU_50061,Nematoda,0,0,0,1.33E-05,0,0,4.39E-05,0,0
OTU_50557,Arthropoda,0,1.19E-05,0,3.78E-05,0,0,0,0,5.07E-06
OTU_51342,Chordata,1.77E-06,4.98E-05,2.95E-06,0,1.14E-06,0,3.97E-06,0,2.49E-06
OTU_528307,Cnidaria,0,4.00E-06,0,2.65E-06,0,0,6.73E-05,4.20E-06,0
OTU_5812,Platyhelminthes,4.97E-06,2.00E-06,0,0,0,4.20E-06,3.40E-06,1.63E-05,3.03E-05
OTU_594,Nematoda,5.73E-06,2.63E-06,3.87E-06,1.51E-05,6.94E-06,0,6.14E-06,5.43E-06,7.55E-06
OTU_59743,Miozoa,0,4.00E-06,3.63E-06,7.97E-06,2.08E-05,5.20E-06,0,0,0
OTU_59949,Echinodermata,0,0,0,0,6.36E-05,0,0,0,0
OTU_6009,Miozoa,7.20E-06,2.00E-06,3.87E-06,7.97E-06,8.83E-06,1.82E-05,0,0,5.07E-06
OTU_6453,Arthropoda,8.85E-06,1.32E-05,0,0,2.90E-06,5.77E-06,0,1.21E-05,2.27E-05
OTU_69227,Bryozoa,1.44E-06,2.00E-06,1.07E-05,1.01E-05,4.53E-06,0,2.29E-05,0,5.07E-06
OTU_694845,Entoprocta,1.44E-06,0,0,0,0,0,2.53E-05,2.71E-05,5.07E-06
OTU_7018,Ciliophora,0,7.23E-06,0,0,5.93E-06,7.77E-06,0,3.93E-06,3.49E-05
OTU_705807,Cnidaria,2.87E-06,1.52E-05,0,0,0,3.07E-05,0,0,0
