OTUID,Phylum,INDO18S12S1A,INDO18S12S1B,INDO18S12S1C,INDO18S12S2A,INDO18S12S2B,INDO18S12S2C,INDO18S13S1A,INDO18S13S1B,INDO18S13S1C
OTU_268,Chordata,8.17E-06,6.00E-06,2.66E-05,0.03010245,6.36E-05,2.20E-05,7.53E-05,9.97E-05,2.88E-05
OTU_206836,Chordata,6.23E-06,4.66E-05,0.000991607,2.65E-06,2.27E-06,0.005001823,3.97E-06,0.000269198,0.01469972
OTU_170,Unknown,0.001811955,0.005879724,0.002097467,0.000281943,0.00034469,0.000756422,0.016200633,0.004058659,0.005371986
OTU_288,Arthropoda,0.004162456,0.005922507,0.000881354,0.005674175,0.002117736,0.004122401,0.003402978,0.001237191,0.002716015
OTU_40394,Chordata,0.024837517,2.63E-06,0,0,4.86E-05,5.77E-06,2.74E-06,0,0
OTU_106,Annelida,0.002635623,0.001576516,0.000726518,0.000804799,0.020806275,0.005684417,0.002439912,0.000286094,0.001109207
OTU_118,Arthropoda,0.00492903,0.001632956,0.001497549,0.002892334,0.002707164,0.002112919,0.00414091,0.003359937,0.009027146
OTU_275,Cnidaria,0.011192804,0.003117739,0.000691032,0.00096057,0.001086562,0.002070065,0.001347569,0.000571383,0.001674329
OTU_79,Porifera,0.001313892,0.010731526,0.002076548,0.004439945,0.002526078,0.001697705,0.003730995,0.001621035,0.005836368
OTU_1,Cnidaria,0.00042182,0.002348217,0.000139525,0.001426113,0.000536055,0.008329843,0.001769462,0.000128538,0.002173617
OTU_105,Arthropoda,0.003383431,0.001354167,0.001194466,2.11E-06,0.006408251,0.000278172,0.011493591,0.00485475,0.000126349
OTU_246,Annelida,0.001925502,0.004393484,0.000158489,0.009514614,0.002153906,0.002161332,0.005270771,0.001596812,0.001137929
OTU_178,Mollusca,0.006503109,0.002637944,0.000409752,0.001705917,0.005669129,0.004790066,0.006091461,0.00159332,0.002735231
OTU_11,Annelida,0.0078879,0.002743171,0.000506118,0.007103439,0.001572801,0.001143338,0.002201328,3.16E-05,0.004521434
OTU_25,Porifera,0.007867749,0.000440392,0.000687802,0.000418131,0.000276801,0.002381981,0.005389825,0.003002744,0.00090659
OTU_130,Annelida,0.006474312,0.000643913,8.89E-05,0.000746104,0.004184,0.000385163,0.000143791,0.000640024,0.013516825
OTU_179,Cnidaria,0.003024341,0.002221314,0.000711266,0.005509816,0.001699641,0.001959309,0.003166795,0.000814467,0.004477314
OTU_312,Cnidaria,0.00595415,0.002635331,2.95E-05,0.003298348,0,0.002956756,0.001789144,0.000189285,5.07E-06
OTU_736695,Annelida,0.000767775,0.007658049,0.00158489,0.000116738,0.001929354,0.005319504,0.011905038,8.43E-06,0.00108384
OTU_625,Chordata,4.60E-05,3.60E-06,0.024480045,4.42E-05,3.03E-06,0,2.74E-06,0.004054896,0.00017165
OTU_80,Rhodophyta,0.002539634,0.002210177,0.001056928,0.000720554,0.000903006,0.001735645,0.009220097,0.004234718,0.002099578
OTU_362,Arthropoda,0.003214327,0.003513722,0.000772645,0.000622019,0.004208753,0.004077163,0.001364909,0.005450006,0.002114297
OTU_3268,Annelida,0,4.63E-06,0.002080523,0.000300183,0.014427875,0,0.000291147,0.00050179,0.008127441
OTU_137,Cnidaria,0.001513602,0.003134048,0.003773523,0.00161627,0.001775776,0.00297913,0.001088735,0.005528064,0.002652309
OTU_302,Cnidaria,0.005544001,0.000632652,0.000699671,7.64E-05,4.77E-05,0.000269578,0.000200866,0.015944423,0.000268918
OTU_737406,Porifera,0.003417969,0.002100209,0.000693004,0.001755421,0.001515967,0.002219081,0.00225874,0.003830285,0.00082011
OTU_39,Annelida,0.000202375,0.007116666,0.00021961,0.00235785,0.008818888,6.34E-05,0.001268735,0.003306733,0.00059724
OTU_113,Chordata,1.95E-05,7.23E-06,0,0.011765599,5.34E-05,0,1.98E-05,2.11E-05,0.005752837
OTU_361,Annelida,0.001772078,0.001813925,0.004043403,0.002302227,0.001495567,0.004339368,1.34E-05,0.004776997,0.005186426
OTU_891169,Echinodermata,0.022899969,1.86E-05,5.51E-05,1.16E-05,5.17E-06,2.66E-05,2.02E-05,3.34E-05,0.000272505
OTU_124381,Annelida,0,2.00E-06,5.71E-05,0.018047124,5.80E-06,1.05E-06,0.001677984,0,3.79E-05
OTU_169,Ochrophyta,0.001528337,0.000675003,0.000954884,0.003091906,0.000941597,0.004227397,0.000190964,0.001358195,9.68E-05
OTU_430,Arthropoda,0,0.019263894,1.81E-06,0.001035888,0.001348317,0,0,0,0
OTU_307,Annelida,0.001417414,0.002005152,0.005710663,0.004879899,0.000390856,1.99E-05,0.000701129,9.75E-05,0.002002682
OTU_487,Chordata,0.001509221,0.000161426,0.000263478,0.000914296,0.000133987,0.000297169,0.022194217,0.001123657,0.00029455
OTU_262,Annelida,0.006955253,0.000160247,2.05E-05,0.010062292,4.76E-05,0.000149044,0,0,0
OTU_284,Rhodophyta,0.010260746,0.001071373,0.000825753,0.00076326,0.000441915,0.000187684,0.000915033,0.0006026,0.000405171
OTU_768118,Cnidaria,0.000906367,0.002110269,0.000201587,0.006261481,0.001569588,0.002042654,0.001145856,0.000347876,0.002028326
OTU_367,Annelida,0.001278343,0.003432259,0.00121493,0.004301086,0.003607169,0.001266284,0.000408445,0.001226065,0.002827221
OTU_434,Cnidaria,0.001670147,0.003187525,0.001082421,0.007361423,0.000508622,0.001286862,0.000255932,2.14E-05,5.07E-06
OTU_174,Ochrophyta,0.003094566,0.000361722,0.001200053,0.001951974,0.00108563,0.002103983,0.002686422,0.005428946,0.002807855
OTU_226,Annelida,0.000840837,0.002161011,0.001352955,0.001537652,0.0023854,0.001461082,0.001605476,0.002480169,0.010437592
OTU_173,Platyhelminthes,0.021447327,2.53E-05,0.00046387,0.000218939,5.79E-05,1.99E-05,0,1.53E-05,1.21E-05
OTU_117,Chordata,0,1.53E-05,0.00100546,6.33E-06,0,0.000433037,0.015667496,0.000612577,0.003165453
OTU_201,Arthropoda,0.002912063,0.002730766,0.000237835,0.003459382,0.002545885,0.001080776,0.000900997,0.002283404,0.000133889
OTU_392,Chordata,1.77E-05,0.002187056,0.010477413,0.00194221,0.00080749,0.000203407,7.93E-06,0.000808514,0.000473662
OTU_186,Annelida,0.003100963,0.003144213,0.00067238,0.000697772,0.000196999,0.001597139,0.000316166,0.005235054,0.002153192
OTU_3672,Chordata,7.50E-06,2.20E-05,0.001671069,0.006550892,4.17E-06,0.003242848,0.00020202,0,1.01E-05
OTU_581997,Rhodophyta,0.001930008,0.003234683,0.001563666,0.001141176,0.000642672,0.001545751,0.000739064,0.003960743,0.000643656
OTU_2007244,Rhodophyta,0.000631289,0.00072914,0.001784316,0.003178228,0.001538693,0.001500822,0.00056441,0.000813074,0.001843114
OTU_153,Arthropoda,0.001097495,0.000997026,0.00032561,0.003130655,9.95E-05,0.000832756,0.0080927,0.002353238,0.000239787
OTU_523,Echinodermata,0.00058274,0.000245904,0.011069549,0,0,4.55E-05,4.45E-05,0.000133891,0
OTU_348,Arthropoda,0.001385467,0.000709113,0.002392233,0.000990732,0.000577286,0.001298339,0.00516183,0.002987779,0.002804714
OTU_5974,Chordata,0,0.010346074,0,0,2.90E-06,0,0,0.000362278,0.002036019
OTU_187,Rhodophyta,0.001241192,0.002717805,0.001105308,0.002538236,0.000950645,0.001148224,0.001678429,0.000560478,0.00059627
OTU_230537,Chordata,1.59E-05,0,0.018395927,8.43E-06,7.93E-06,0,7.93E-06,0,1.84E-05
OTU_483,Annelida,1.77E-06,2.63E-05,0.00026319,0.000678641,0,8.40E-06,0.000123409,0.000324988,0.014208047
OTU_1024615,Cnidaria,0.000622448,0.001296977,0.001667501,0.000150509,0.002112483,0.000873134,9.84E-05,0.006294226,0.004490773
OTU_710066,Arthropoda,0.00166116,0.003294189,0.000510257,0.003764453,0.003541727,0.001759538,0.000318611,0.000112725,0.000227428
OTU_261,Arthropoda,0.003699081,0.002015444,0.00083678,0.001331345,0.000822759,0.000506474,0.001600825,0.000531775,0.002710779
OTU_251,Cnidaria,0.000515124,0.003217091,0.000109372,0.001897129,0.003169475,0.004147839,0.000313804,0.000999666,5.28E-05
OTU_2406,Porifera,0.000767814,0.004043359,0.000309298,7.84E-05,0.000559471,0.000966009,0.003530032,0.002294966,0.000780053
OTU_115,Annelida,0.002257677,0.002793174,0.001549667,0.002755935,0.001192129,0.000863521,0.000841676,0.00199013,0.000739353
OTU_327,Mollusca,0.000281628,0.009481356,0.000681913,0.003198453,0.000234832,0.001051511,0.000716921,0.000434531,0.000227683
OTU_509,Retaria,4.05E-05,1.45E-05,1.27E-05,6.63E-05,2.90E-06,0.000119808,0.00234438,0.006574058,0.00757485
